name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
GJ 3306,30.69,Eridanus,69.44863333333333,-8.826516111111111,DQ8,,14.1,14.2,106.339
Gliese 367,30.719,Vela,146.12431987499997,-45.77650766666667,M1.0V,0.455,10,10.1,106.173
Gliese 357,30.776,Hydra,144.00682175,-21.660799333333333,M2.5V,0.362,10.91,11,105.979
2MASS J11592743-5247188,30.9,Centaurus,,,M9V,,,,
2MASS 0034+0523,30.9,Pisces,,,T6.5,,,,
Gliese 694,30.92,Ursa Major,265.98327916666665,43.375930277777776,M2V,,10.5,10.6,104.915
Gliese 176,30.937,Taurus,70.73239583333334,18.958165555555556,M2.5V,0.5,9.95,10.1,105.427
GJ 3512,30.976,Ursa Major,130.3338694166667,59.497345583333335,dM5.5,0.117,15.05,0.1,105.294
GJ 1065,30.98,Ursa Major,57.682575,-6.100991111111111,M3V,,12.8,12.9,100.73
CWISEP J1446−2317,31,Libra,221.53095833333336,-23.284536111111112,Y1,,,,
GJ 1227,31.06,Draco,275.6038541666667,62.04499388888889,M4.0V,,,,119.752
GJ 3380,31.075,Auriga,90.62212916666667,49.86182111111111,M5V,0.141,14.6,14.8,104.959
HR 4458 B,31.164,Hydra,173.62286016666667,-32.83133966666667,DC8,,5.97 + 15,,
HR 4458 A,31.177,Hydra,173.62286016666667,-32.83133966666667,K0V,,,,
2MASS J11553952-3727350,31.2,Centaurus,178.915,-37.46337805555556,L2e             ,0.061,,,84.73
61 Ursae Majoris,31.24,Ursa Major,175.26256641666666,34.201634000000006,G8V,0.85,5.35,5.4,104.425
Wolf 1069,31.229,Cygnus,306.52209220833333,58.57296677777778,dM5.0,0.167,14.2,14.3,104.441
Gliese 358,31.36,Hydra,144.940125,-41.06597,M3V,,10.7,10.8,104.096
WISEA J1141−3326,31.4,Hydra,175.48945833333335,-33.44293611111111,Y0,,,,
TYC 3251-1875-1,31.51,,3.912170833333333,47.58934194444445,MV,,11,10.7,86.993
LHS 6167,31.57,,138.90178749999998,-10.596391666666667,M4.5V,0.13,13.8,14.5,134.9
WISE J140533.32+835030.5,31.6,,,,,,,,
Gliese 479,31.61,,189.46012916666666,-52.00134638888889,M3V(e),0.43,10.7,10.8,105.347
AU Microscopii,31.683,Microscopium,311.28971875,-31.340899416666666,M1Ve,0.5,8.73,8.7,102.943
WISE J2030+0749,31.7,,307.676375,7.826605555555555,T1.5,,,,
GJ 1138,31.7,,162.43631666666667,35.54286944444444,M5V,,,,102.752
Gliese 436,31.882,Leo,175.54622225,26.706569666666667,M2.5V,0.41,10.67,10.7,102.301
LP 655-48,31.96,,70.0984875,-5.501688611111111,M7.5Ve,,17.8,17.9,102.594
WISE 0811-8051,32,,,,T9.5,,,,
GJ 3112,32.04,,25.75030416666667,-67.31295805555555,DA8.1,0.58,13.9,14,102.908
GJ 3253,32.11,,,,M5V,,,,
Gliese 638,32.114,Hercules,251.27646058333335,33.50922605555556,K7.5Ve,,8.11,8.2,101.561
Gliese 49,32.158,Cassiopeia,15.66195025,62.34504897222222,M1.5V,,,,
12 Ophiuchi,32.27,Ophiuchus,249.08937370833334,-2.324586944444444,K1V,0.91,5.77,5.8,101.072
GJ 3988,32.3,,255.8504166666667,51.40906416666667,M5V,0.184,,,100.927
HD 232979,32.32,,69.4228125,52.89150305555555,M0.5V,,8.648,8.7,100.916
GJ 3119,32.36,,27.76952916666667,-6.119239166666667,M4.5Ve,,14.5,14.4,94.711
Gliese 680,32.37,,,,M3V,,,,
Gliese 569 A,32.466,Boötes,223.62181750000002,16.101055000000002,M3V,,,,
Gliese 569 Ba,32.466,Boötes,223.62181750000002,16.101055000000002,M8.5,,,,
Gliese 569 Bb,32.466,Boötes,223.62181750000002,16.101055000000002,M8.5,,,,
WISE 1614+1739,32.6,,243.67117500000003,17.66124472222222,T9,,19.08,,98.2
ULAS 1335+11,32.6,Virgo,203.97270833333334,11.501444444444445,T9,,,,
HD 260655,32.608,Gemini,99.29499500000001,17.56481477777778,M0.0V,0.439,9.77 ± 0.11,9.6,100.023
GJ 1125,32.61,,142.68327083333332,0.3202233333333333,M3.5Ve,,11.7,11.7,100.903
GJ 3976,32.71,,252.74161666666663,22.453351944444442,M5V,,14.3,14.2,95.52
GJ 3182,32.73,,42.148579166666664,54.387861111111114,DAZ9.5,,,,92.036
HR 511,32.75,Cassiopeia,26.936810166666664,63.85250305555556,K0V,0.825,5.63,5.6,99.59
Gliese 22 A,32.8,Cassiopeia,8.122639999999999,67.23566916666667,M2.5Ve,0.378,10.29,12.2,101.086
Gliese 22 B,32.8,Cassiopeia,8.122639999999999,67.23566916666667,M3V,,12.19,,
Gliese 22 C,32.8,Cassiopeia,8.122639999999999,67.23566916666667,M,,13.2,,
HR 5256,32.835,Ursa Major,209.38358,61.492860944444445,K3V,0.8,6.52,,99.332
WISE 1150+6302,32.9,,177.5579166666667,63.044713888888886,T8,,17.72,,100
WISE 1318-1758,32.9,,199.64158333333336,-17.974027777777778,T9,,,,100
Gliese 678.1 A,33.12,,,,M1.0Ve,,,,
Gliese 453,33.13,,179.490125,-27.707055555555556,K4+V,,7,6.9,98.298
Alpha Mensae A,33.31,Mensa,92.56030254166667,-74.75304402777778,G7V,,5.09,,
Alpha Mensae B,33.31,Mensa,92.56030254166667,-74.75304402777778,M3.5-6.5 V,,,,
Gliese 339.1,33.52,,138.9755875,53.41831055555555,DC7P,,,,97.345
Gliese 1277,33.59,,344.0981875,-60.06785416666667,M4.5,,14,13.9,96.336
SCR J0533-4257,33.75,,83.36672499999999,-42.955533055555556,M4.5V,,,,95.932
2MASS 0559-1404,33.76,,,,T4.5,,,,
Pollux,33.78,Gemini,116.32895779166667,28.02619888888889,K0III,1.91,1.14,1.1,96.54
HD 17925,33.792,Eridanus,43.133867458333334,-12.769713361111112,K1V,0.88,6.04,6,96.52
2MASS J2139+0220,33.8,Aquarius,324.86153749999994,2.339638888888889,T1.5,,,,
Gliese 649,33.892,Hercules,254.53687499999998,25.744158333333335,M1.0V,0.51,9.655,9.6,96.233
WISE 1322-2340,33.9,,200.64012499999998,-23.671308333333336,T8,,17.01,,100
2MASS 1237+6526,34,Draco,189.413318,65.437447,T6.5V,0.035,16.15,,96.07
Gliese 595,34.01,,235.51777916666666,-19.476366666666664,M3,0.29,11.9,11.9,103.18
Gliese 127.1,34.08,,,,DA3.0,,,,
L 363-38,34.25,,10.855470833333333,-41.29537361111111,M3,0.21,11.5,11.5,97.661
2MASS 1047+2124,34.4,Leo,161.974394,21.406519,T6.5,,,,
WD 0821-669,34.44,,125.35674166666666,-67.05262833333333,DA9.8,,15.3,15.2,93.672
2MASS J00501994−3322402,34.5,,12.5831125,-33.377853055555555,T7,,,,94.6
Iota Persei,34.5,Perseus,47.26674583333333,49.61327777777778,G0V,1.35,4.05,3.9,94.541
L 98-59,34.599,Volans,124.53175600000002,-68.3130015,M3V,0.32,11.69±0.05,11.6,94.266
Gliese 653/654 A,34.6,,,,K4/5V,,,,
Gliese 653/654 B,34.6,,,,M1.5V,,,,
WISE 0148-7202,34.6,Tucana,27.030833333333334,-72.04968611111111,T9.5,,,,108
2MASS J08251968+2115521,34.8,,126.32932499999998,21.262974166666666,L7.5V,,,,92.601
